月,日,星期,活動事項
8,1,五,114學年度第一學期開始
8,7,四,第一學期選課初選開始
8,30,六,新生家長座談會
9,1~30,一~二,115年度基礎案申請
9,4~5,四~五,新生入學輔導
9,5,五,第一學期選課初選結束
9,5,五,第一學期註冊繳費截止日
9,8,一,第一學期開學日(上課開始)
9,8~12,一~五,期初加退選(新、舊生)
9,28~29,日~一,114年9月28日孔子誕辰紀念日/教師節放假，因適逢星期日於9月29日補假一日
10,6,一,中秋節放假
10,10,五,國慶日放假
10,10/13~11/3,一~一,115學年度碩士班推薦甄試報名
10,10/20~11/14,一~五,期中預警名單上網登錄
10,24~25,五~六,114年10月25日臺灣光復暨金門古寧頭大捷紀念日放假，因適逢星期六於10月24日補假一日
10,27~31,一~五,期中考週
11,3~14,一~五,期中退選申請
11,8,六,校慶活動日及全校運動會(校慶運動日)
11,17,一,115學年度碩士班推薦甄試考試
11,30,日,碩博士班申請學位考試截止
12,11,四,114年度基礎案及產學合作成果發表會
12,12/15~1/19,一~一,114學年度第二學期寒假轉學考報名
12,19,五,休學申請截止(學士班、碩士班、博士班及碩士在職專班)
12,22~26,一~五,學期考試(期末考週)
12,25,四,行憲紀念日放假
12,12/29~1/11,一~日,彈性教學週
12,31,三,114年度基礎案繳交結案報告
1,1,四,115年度基礎案執行開始
1,1~2,四~五,1/1元旦放假，1/2校慶活動日/全校運動會之換休日，放假一天
1,1/12~3/2,一~一,115學年度碩士班考試報名115學年度碩士在職專班招生報名
1,12,一,寒假開始
1,14,三,送交學期總成績截止
1,20,二,第二學期選課初選開始
1,22,四,114學年度第二學期寒假轉學考考試
1,31,六,114學年度第一學期碩博士班學位考試截止
1,31,六,114學年度第一學期結束
2,1,日,114學年度第二學期開始
2,14~22,六~日,春節年假，除夕(2月16日)放假一天，春假(2月17日~2月22日)放六天，包含例假日共放9天(2月14日至2月22日)
2,20,五,寒假結束
2,20,五,第二學期選課初選結束
2,20,五,第二學期註冊繳費截止日
2,23,一,第二學期開學日(上課開始)
2,2/23~3/2,一~一,期初加退選
2,27~28,五~六,2月28日和平紀念日放假，逢例假日2月27日補假一日
3,3/2~4/13,一~一,115學年度博士班考試報名
3,6,五,115學年度碩士班入學考試
3,7,六,115學年度碩士在職專班入學考試
4,3~6,五~一,4月4日婦幼節放假，4月5日清明節放假，皆逢例假日故4月3日及4月6日各補假一日
4,4/7~5/1,二~五,期中預警名單上網登錄
4,13~17,一~五,期中考週
4,4/20~5/1,一~五,期中退選申請
4,20,一,115學年度博士班入學考試
4,25,六,校友大會
5,1,五,勞動節放假
5,4~11,一~一,轉系申請
5,30,六,畢業典禮
5,31,日,碩博士班申請學位考試截止
6,5,五,休學申請截止(學、碩、博士班)
6,6/8~7/6,一~一,115學年度第一學期暑假轉學考報名
6,8~12,一~五,學期考試(期末考週)
6,15~28,一~日,彈性教學週
6,19,五,端午節放假
6,29,一,暑假開始
7,1,三,送交學期總成績截止
7,9,四,115學年度第一學期暑假轉學考考試
7,31,五,114學年度第二學期碩博士班學位考試截止
7,31,五,114學年度第二學期結束
